Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Virgin Islands (U.S.),VIR,82.7,82.8,83,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,West Bank and Gaza,PSE,75.307,75.446,75.595,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Yemen, Rep.",YEM,67.789,67.786,67.795,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Zambia,ZMB,65.168,65.878,66.447,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Zimbabwe,ZWE,61.719,62.22,62.598,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Arab World,ARB,73.32106549,73.49336627,73.66302795,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Caribbean small states,CSS,75.64681526,75.774674,75.90319339,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Central Europe and the Baltics,CEB,80.82329374,80.71347096,80.78213089,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Early-demographic dividend,EAR,71.90930598,72.1587091,72.39325794,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,East Asia & Pacific,EAS,78.28401023,78.50619169,78.69815177,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,East Asia & Pacific (excluding high income),EAP,77.32880949,77.5631021,77.77063531,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,East Asia & Pacific (IDA & IBRD countries),TEA,77.35751341,77.59185935,77.79935185,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Euro area,EMU,84.68666693,84.56465827,84.70234017,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Europe & Central Asia,ECS,80.92327326,81.01859573,81.14944876,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Europe & Central Asia (excluding high income),ECA,77.12109363,77.46388329,77.64055556,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Europe & Central Asia (IDA & IBRD countries),TEC,77.64421905,77.92198057,78.07312608,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,European Union,EUU,83.86244967,83.74677768,83.8671747,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Fragile and conflict affected situations,FCS,62.65042182,62.95866261,63.24654835,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Heavily indebted poor countries (HIPC),HPC,64.04148295,64.48573396,64.88917837,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,High income,HIC,83.27787427,83.28136748,83.35037929,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,IBRD only,IBD,75.40421415,75.63892978,75.84265837,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,IDA & IBRD total,IBT,72.85183301,73.09040347,73.29828013,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,IDA blend,IDB,62.75091027,63.06117993,63.34645453,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,IDA only,IDX,66.51228741,66.88013692,67.21913955,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,IDA total,IDA,65.26248313,65.61089022,65.93195435,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Late-demographic dividend,LTE,78.62169323,78.86444199,79.06433688,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Latin America & Caribbean,LCN,78.32760443,78.47517863,78.61813593,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Latin America & Caribbean (excluding high income),LAC,78.1479503,78.29909488,78.44660249,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Latin America & the Caribbean (IDA & IBRD countries),TLA,78.25787819,78.40852562,78.55553906,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Least developed countries: UN classification,LDC,66.20170423,66.58453546,66.93452987,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Low & middle income,LMY,72.75232651,72.99585713,73.20705117,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Low income,LIC,64.66196082,65.04955419,65.41046715,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Lower middle income,LMC,69.66956927,69.93637669,70.1780612,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Middle East & North Africa,MEA,75.54676955,75.73199805,75.90954855,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Middle East & North Africa (excluding high income),MNA,75.15031883,75.33515214,75.5157284,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Middle East & North Africa (IDA & IBRD countries),TMN,75.14846104,75.33383364,75.51477726,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Middle income,MIC,73.66369847,73.9036578,74.11093277,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,North America,NAC,81.39103436,81.40258785,81.40493674,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Not classified,INX,..,..,..,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,OECD members,OED,82.68868239,82.6957821,82.75981631,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Other small states,OSS,69.47201822,69.88267951,70.20863464,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Pacific island small states,PSS,71.5302392,71.70295538,71.8748223,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Post-demographic dividend,PST,83.29166942,83.30259308,83.3678766,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Pre-demographic dividend,PRE,61.59130994,62.0443765,62.45492021,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Small states,SST,70.79121952,71.12207667,71.39044811,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,South Asia,SAS,70.23337323,70.50572324,70.76419805,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,South Asia (IDA & IBRD),TSA,70.23337323,70.50572324,70.76419805,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Sub-Saharan Africa,SSF,62.17642699,62.63169087,63.04052743,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Sub-Saharan Africa (excluding high income),SSA,62.15538651,62.61173511,63.02186804,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Sub-Saharan Africa (IDA & IBRD countries),TSS,62.17642699,62.63169087,63.04052743,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Upper middle income,UMC,77.59976725,77.83938711,78.04073764,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,World,WLD,74.50437885,74.6960557,74.87181466,..,..
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 03/19/2021,,,,,,,,
