country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Niger,Africa,4906,185.0,4529.0,192.0,1.0,198,7.0,85444.0,3442.0,24820988
Nigeria,Africa,161409,2027.0,146890.0,12492.0,10.0,770,10.0,1684305.0,8030.0,209742690
Norway,Europe,84553,648.0,70224.0,13681.0,44.0,15510,119.0,4269215.0,783144.0,5451380
Oman,Asia,149135,1620.0,137871.0,9644.0,88.0,28690,312.0,1550000.0,298181.0,5198186
Pakistan,Asia,619259,13757.0,578314.0,27188.0,2064.0,2765,61.0,9691087.0,43278.0,223925230
Panama,North America,349505,6025.0,338181.0,5299.0,111.0,80109,1381.0,2047706.0,469347.0,4362882
Papua New Guinea,Australia/Oceania,2479,31.0,846.0,1602.0,,273,3.0,54410.0,6001.0,9066894
Paraguay,South America,188493,3620.0,155244.0,29629.0,368.0,26199,503.0,832389.0,115695.0,7194703
Peru,South America,1443521,49706.0,1355792.0,38023.0,2226.0,43352,1493.0,8529823.0,256170.0,33297495
Philippines,Asia,640984,12887.0,561530.0,66567.0,785.0,5795,117.0,9493580.0,85825.0,110615442
Poland,Europe,1984248,48388.0,1603832.0,332028.0,2190.0,52470,1280.0,10946376.0,289456.0,37817030
Portugal,Europe,816055,16743.0,764599.0,34713.0,187.0,80198,1645.0,8671839.0,852229.0,10175477
Qatar,Asia,172200,270.0,159472.0,12458.0,140.0,61329,96.0,1648555.0,587133.0,2807805
Reunion,Africa,13801,71.0,12389.0,1341.0,58.0,15337,79.0,98785.0,109779.0,899856
Romania,Europe,881159,21877.0,794950.0,64332.0,1286.0,46023,1143.0,6891603.0,359952.0,19145910
Russia,Europe,4428239,93824.0,4037036.0,297379.0,2300.0,30335,643.0,116300000.0,796689.0,145979091
Rwanda,Africa,20551,284.0,19007.0,1260.0,7.0,1559,22.0,1077055.0,81727.0,13178642
Saint Barthelemy,North America,712,1.0,462.0,249.0,,71934,101.0,19114.0,1931097.0,9898
Saint Kitts And Nevis,North America,44,,42.0,2.0,,823,,10591.0,198085.0,53467
Saint Lucia,North America,4097,55.0,3880.0,162.0,2.0,22239,299.0,34268.0,186012.0,184225
Saint Martin,North America,1602,12.0,1399.0,191.0,7.0,40937,307.0,22204.0,567398.0,39133
Saint Pierre And Miquelon,North America,24,,24.0,0.0,,4157,,3729.0,645826.0,5774
Saint Vincent And The Grenadines,North America,1684,9.0,1506.0,169.0,2.0,15145,81.0,39075.0,351422.0,111191
Samoa,Australia/Oceania,3,,2.0,1.0,,15,,,,199352
San Marino,Europe,4292,78.0,3758.0,456.0,11.0,126302,2295.0,48971.0,1441086.0,33982
Sao Tome And Principe,Africa,2114,34.0,1920.0,160.0,,9521,153.0,11592.0,52207.0,222038
Saudi Arabia,Asia,383880,6591.0,373601.0,3688.0,564.0,10906,187.0,14503622.0,412059.0,35197967
Senegal,Africa,37428,995.0,33643.0,2790.0,40.0,2195,58.0,419334.0,24587.0,17054851
Serbia,Europe,536904,4840.0,454449.0,77615.0,222.0,61627,556.0,3218400.0,369412.0,8712226
