Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (IDA & IBRD countries),TMN,3947.218704,3816.596803,3975.048437,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle income,MIC,4780.825878,5196.351207,5478.703541,5561.927576,..
GDP per capita (current US$),NY.GDP.PCAP.CD,North America,NAC,56388.85542,58563.83861,61304.64302,63343.34505,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Not classified,INX,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,OECD members,OED,36044.18396,37415.71201,39329.58576,39482.13857,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Other small states,OSS,12402.35697,13230.82501,14382.79798,13777.91656,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Pacific island small states,PSS,3967.604572,4216.561939,4341.143524,4264.667414,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Post-demographic dividend,PST,41298.90268,42928.69216,45319.26122,45615.11518,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Pre-demographic dividend,PRE,1400.231865,1416.520679,1455.982289,1485.649585,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Small states,SST,11353.62371,12048.34977,13013.75137,12615.20349,..
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia,SAS,1650.330139,1866.159019,1898.971004,1956.575921,..
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia (IDA & IBRD),TSA,1650.330139,1866.159019,1898.971004,1956.575921,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa,SSF,1506.429765,1563.36124,1596.147083,1596.213739,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (excluding high income),SSA,1495.049768,1551.283751,1583.513056,1583.926069,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (IDA & IBRD countries),TSS,1506.429765,1563.36124,1596.147083,1596.213739,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Upper middle income,UMC,7632.381923,8368.500477,8906.203544,9013.749964,..
GDP per capita (current US$),NY.GDP.PCAP.CD,World,WLD,10286.34164,10827.65858,11385.55287,11433.21572,..
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 03/19/2021,,,,,,,,
